,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.448276,0.996169,1,0.998084,0.132184,0.856322
Pan-Keratin,0.00957854,0.224138,0.153257,0.187739,0.371648,0.14751
CD3,0.0229885,0.01341,0.00383142,0.314176,0.423372,0.0363985
CD8,0.0229885,0.00383142,0.0172414,0.342912,0.293103,0.337165
CD20,0.0747126,0.105364,0.214559,0.231801,0.0881226,0.519157
CD56,0.0287356,0.0229885,0.0287356,0.0191571,0,0.0306513
CD68,0.151341,0.059387,0.0977011,0.0900383,0.00574713,0.0153257
BG,0,0.356322,0.199234,0.342912,0.996169,0.559387
