class,entropy_nats,entropy_bits
CK+,1.27782,1.8435
CD3+,1.23883,1.78726
CD8+,1.29842,1.87323
CD20+,1.22544,1.76793
CD56+,1.2549,1.81044
CD68+,1.25019,1.80364
