,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.16806,0.280461,0.202468,0.274606,0.136648,0.14311
Pan-Keratin,0.0770402,0.0271325,0.0366451,0.0343211,0.0174513,0.0258671
CD3,0.0590158,0.17727,0.124374,0.178379,0.0731448,0.110863
CD8,0.0965429,0.12643,0.142053,0.122445,0.0439007,0.0568034
CD20,0.0423114,0.0525628,0.0421255,0.0831995,0.0646514,0.0627126
CD56,0.00904645,0.00619877,0.0086981,0.00907993,0.00883005,0.00595309
CD68,0.0769294,0.0785572,0.0727489,0.061846,0.0898862,0.152845
BG,0.152558,0.223785,0.216338,0.0736322,0.178712,0.147554
