class,entropy_nats,entropy_bits
CK+,1.24721,1.79934
CD3+,1.22501,1.76731
CD8+,1.28732,1.85721
CD20+,1.19201,1.71971
CD56+,1.21424,1.75178
CD68+,1.23879,1.78719
