,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.154919,0.231243,0.173072,0.221504,0.139754,0.10618
Pan-Keratin,0.0881572,0.0311063,0.0635005,0.044266,0.0227723,0.0297376
CD3,0.0442998,0.127685,0.0914401,0.122334,0.0589774,0.0723977
CD20,0.0592368,0.0760176,0.0855963,0.0744264,0.0267769,0.0332581
CD68,0.0693071,0.0785426,0.0726713,0.139348,0.109438,0.103399
CD56,0.0144843,0.0101921,0.0136287,0.0145782,0.0137537,0.010212
CD8,0.0335201,0.0352657,0.0351618,0.0290869,0.0370245,0.0620305
BG,0.144188,0.21552,0.213284,0.067431,0.173813,0.143687
