,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.691319,0.478988,0.295592,0.586739,0.579972,0.176967
Pan-Keratin,0.573596,-0.408555,0.807239,0.329862,-0.555958,0.179539
CD3,-0.0301895,0.690353,0.433523,0.797679,0.450362,0.495546
CD8,0.497814,0.565675,0.664927,0.754068,-0.191841,-0.0609952
CD20,0.330826,0.42454,0.579127,0.742516,0.709016,0.547244
CD56,0.847195,0.644545,0.791369,0.934298,0.850884,0.616838
CD68,0.176082,0.573745,0.619952,0.529817,0.366823,0.752464
BG,0.265576,0.879097,0.841877,0.0668817,0.65988,0.847031
