class,entropy_nats,entropy_bits
CK+,1.50267,2.1679
CD3+,1.451,2.09335
CD8+,1.48426,2.14134
CD20+,1.31973,1.90397
CD56+,1.52477,2.19978
CD68+,1.4028,2.02381
