,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.534722,0.998264,0.998264,0.993056,0.305556,0.932292
Pan-Keratin,0.00173611,0.328125,0.204861,0.144097,0.25,0.166667
CD3,0.0399306,0.0104167,0,0.385417,0.65625,0.0225694
CD8,0.0138889,0.00520833,0.0104167,0.654514,0.526042,0.631944
CD20,0.0260417,0.0520833,0.128472,0.0885417,0.0399306,0.348958
CD56,0.0173611,0.0104167,0.015625,0.00868056,0.00173611,0.0190972
CD68,0.470486,0.133681,0.213542,0.232639,0.0121528,0.0225694
BG,0,0.387153,0.149306,0.302083,1,0.53125
