,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.674766,0.998131,0.990654,0.994393,0.426168,0.906542
Pan-Keratin,0.0672897,0.168224,0.11215,0.164486,0.194393,0.104673
CD3,0.0317757,0.00560748,0.00186916,0.454206,0.624299,0.0728972
CD8,0.0168224,0.0130841,0.0149533,0.633645,0.515888,0.603738
CD20,0.0728972,0.0616822,0.166355,0.186916,0.117757,0.336449
CD56,0.188785,0.0878505,0.188785,0.0934579,0.00186916,0.185047
CD68,0.33271,0.151402,0.242991,0.194393,0.0728972,0.0934579
BG,0,0.364486,0.142056,0.325234,1,0.570093
