,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.501745,0.466817,0.398443,0.387028,0.545624,0.412662
Pan-Keratin,0.219254,0.0612945,0.043974,0.0354299,0.0573101,0.0312301
CD3,0.04382,0.28989,0.0601692,0.0308798,0.0302208,0.0216853
CD8,0.0363222,0.0502146,0.357194,0.0412668,0.0344205,0.0455782
CD20,0.0672162,0.0588922,0.0615121,0.442803,0.128629,0.0779344
CD56,0.0100669,0.00178125,0.00650143,0.00758767,0.0667799,0.00478932
CD68,0.0504135,0.0324179,0.0410869,0.0306318,0.0537614,0.372885
BG,0.0711619,0.0386928,0.0311199,0.024373,0.0832538,0.033235
