,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.767785,0.652737,0.479105,0.733958,0.666541,0.48371
Pan-Keratin,0.572395,-0.294134,0.71347,0.325099,-0.614824,0.254575
CD3,0.159689,0.764593,0.524297,0.884124,0.481761,0.59925
CD8,0.594783,0.670433,0.740782,0.797392,-0.0214085,0.0972606
CD20,0.311565,0.397097,0.291477,0.654422,0.697783,0.328517
CD56,-0.276297,-0.243386,-0.296319,0.190148,-0.188098,-0.654308
CD68,0.130203,0.643189,0.643058,0.62221,0.464663,0.781572
BG,0.30739,0.888641,0.836547,0.16265,0.694796,0.866663
