,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.165051,0.292598,0.211321,0.278992,0.146124,0.14507
Pan-Keratin,0.0784958,0.02882,0.038194,0.0340308,0.0183532,0.022916
CD3,0.0613901,0.186058,0.136038,0.188304,0.0798761,0.117309
CD8,0.099591,0.130878,0.1463,0.12706,0.0456823,0.0586581
CD20,0.0468962,0.0582022,0.0449413,0.0916536,0.0744995,0.067572
CD56,0.0153268,0.0124507,0.015256,0.0157531,0.0151861,0.0113424
CD68,0.0712204,0.0756002,0.0688028,0.0583551,0.0851276,0.142527
BG,0.1526,0.223921,0.216981,0.0729414,0.178055,0.146651
