,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.734712,0.614749,0.440367,0.71699,0.606507,0.488086
Pan-Keratin,0.48796,-0.247845,0.595809,0.259718,-0.632615,-0.0226591
CD3,0.0418621,0.713141,0.434441,0.840923,0.406863,0.509493
CD20,0.507099,0.559107,0.666367,0.730275,-0.181628,-0.0525514
CD68,0.223414,0.337294,0.497985,0.639465,0.576887,0.469018
CD56,0.213395,0.217563,0.177734,0.530558,0.369386,-0.325547
CD8,0.179913,0.604478,0.58811,0.562063,0.37361,0.736385
BG,0.297763,0.901734,0.850583,0.122007,0.665972,0.853471
