,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.559006,1,0.99793,0.99793,0.318841,0.944099
Pan-Keratin,0.00621118,0.343685,0.26087,0.146998,0.287785,0.180124
CD3,0.0414079,0.0165631,0.00207039,0.337474,0.608696,0.0289855
CD20,0.0186335,0.00414079,0.00621118,0.600414,0.519669,0.590062
CD68,0.0227743,0.0351967,0.115942,0.0766046,0.0310559,0.409938
CD56,0.0227743,0.0144928,0.0227743,0.00621118,0.00207039,0.0186335
CD8,0.412008,0.111801,0.233954,0.200828,0.00414079,0.0269151
BG,0,0.414079,0.175983,0.349896,1,0.581781
