class,entropy_nats,entropy_bits
CK+,1.24876,1.80157
CD3+,1.22426,1.76623
CD8+,1.29466,1.8678
CD20+,1.20842,1.74339
CD56+,1.23133,1.77644
CD68+,1.25719,1.81374
