,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.166323,0.295416,0.213911,0.285387,0.145222,0.149767
Pan-Keratin,0.0674984,0.0217564,0.0325207,0.0294125,0.0139781,0.0178985
CD3,0.0702874,0.204872,0.144988,0.205986,0.0871239,0.125822
CD8,0.103088,0.135452,0.153802,0.130635,0.0463668,0.0565231
CD20,0.0422598,0.0508629,0.0431897,0.0811036,0.0644233,0.062395
CD56,0.0029516,0.00238464,0.00315288,0.00307256,0.00276015,0.00173131
CD68,0.078524,0.0817472,0.0799187,0.0666301,0.093727,0.160935
BG,0.152938,0.226169,0.220729,0.0736718,0.18309,0.153381
