class,entropy_nats,entropy_bits
CK+,1.3639,1.96769
CD3+,1.29994,1.87542
CD8+,1.38094,1.99227
CD20+,1.25682,1.81321
CD56+,1.3661,1.97086
CD68+,1.32046,1.90502
