,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.552964,0.544768,0.483956,0.48897,0.615793,0.471023
Pan-Keratin,0.220644,0.0459752,0.0313597,0.0266158,0.0608316,0.0262449
CD3,0.0372285,0.267722,0.060311,0.0333471,0.0296907,0.0248867
CD20,0.0271842,0.0413022,0.307371,0.0343401,0.0316731,0.0376717
CD68,0.0514806,0.037053,0.04738,0.360416,0.0963135,0.0499309
CD56,0.00483955,0.00114049,0.0033812,0.00416654,0.0248274,0.00325419
CD8,0.0347277,0.0214913,0.0319073,0.0245017,0.0483752,0.351179
BG,0.0709311,0.0405477,0.0343343,0.027643,0.092495,0.0358089
