,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.755641,0.649306,0.446084,0.717425,0.630585,0.512005
Pan-Keratin,0.538618,-0.292303,0.709059,0.326321,-0.595637,0.136862
CD3,-0.00742541,0.700224,0.388952,0.803103,0.330082,0.452362
CD20,0.487946,0.531793,0.642191,0.678479,-0.22012,-0.0777655
CD68,0.268574,0.308986,0.440206,0.713665,0.642593,0.423117
CD56,0.678952,0.639557,0.610527,0.832276,0.746258,0.324841
CD8,0.0784016,0.538705,0.601316,0.56743,0.292602,0.7151
BG,0.287638,0.886587,0.840824,0.178167,0.673842,0.846381
