,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.757678,0.592644,0.404361,0.703259,0.583581,0.44316
Pan-Keratin,0.512638,-0.256104,0.606644,0.346348,-0.623493,0.174575
CD3,-0.0591908,0.665209,0.362786,0.819791,0.326279,0.418428
CD8,0.455585,0.526487,0.633913,0.719091,-0.227991,-0.0417896
CD20,0.142252,0.242828,0.39677,0.604885,0.535659,0.367033
CD56,0.832678,0.632755,0.764252,0.887814,0.747715,0.410006
CD68,0.175274,0.598818,0.59674,0.589266,0.324166,0.704999
BG,0.295427,0.891314,0.840941,0.13959,0.656673,0.843069
