,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.181386,0.32881,0.236305,0.308206,0.172021,0.162101
Pan-Keratin,0.108894,0.03319,0.0553153,0.0479056,0.0200687,0.0313938
CD3,0.101029,0.255033,0.187047,0.259611,0.117054,0.166006
CD8,0.130513,0.168543,0.186256,0.166783,0.0604261,0.0729248
CD20,0.0335811,0.0382253,0.0286047,0.0656623,0.0545214,0.0465769
CD56,0.00506816,0.00416645,0.00525321,0.00573056,0.00591173,0.00342412
CD68,0.0726726,0.0862596,0.0834651,0.0699233,0.0983433,0.166176
BG,0.15553,0.229767,0.227421,0.0766018,0.190235,0.159498
