class,entropy_nats,entropy_bits
CK+,1.2472,1.79932
CD3+,1.22458,1.7667
CD8+,1.28693,1.85664
CD20+,1.19093,1.71815
CD56+,1.21399,1.75141
CD68+,1.23915,1.78772
