,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.545139,0.998264,0.998264,0.994792,0.310764,0.918403
Pan-Keratin,0.00173611,0.324653,0.196181,0.142361,0.258681,0.168403
CD3,0.0416667,0.0104167,0,0.388889,0.657986,0.0260417
CD20,0.0121528,0.00694444,0.0121528,0.649306,0.506944,0.618056
CD68,0.0295139,0.0503472,0.135417,0.0885417,0.0347222,0.354167
CD56,0.0173611,0.00868056,0.015625,0.00868056,0.00173611,0.0190972
CD8,0.482639,0.119792,0.220486,0.220486,0.0104167,0.0190972
BG,0,0.392361,0.137153,0.300347,1,0.541667
