class,entropy_nats,entropy_bits
CK+,1.5026,2.1678
CD3+,1.45164,2.09428
CD8+,1.48482,2.14215
CD20+,1.32013,1.90455
CD56+,1.52509,2.20025
CD68+,1.40191,2.02253
