class,entropy_nats,entropy_bits
CK+,1.28754,1.85753
CD3+,1.2371,1.78476
CD8+,1.30397,1.88123
CD20+,1.20868,1.74375
CD56+,1.26287,1.82194
CD68+,1.27065,1.83316
