,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.742566,0.63069,0.453184,0.723093,0.610235,0.472828
Pan-Keratin,0.50465,-0.264564,0.619959,0.299904,-0.615199,0.000597129
CD3,-0.0238716,0.687585,0.410244,0.828016,0.364842,0.479389
CD8,0.466287,0.546818,0.645244,0.729244,-0.261699,-0.0686782
CD20,0.108103,0.233426,0.35952,0.620388,0.58161,0.404011
CD56,0.583495,0.467634,0.564335,0.833875,0.667544,0.152506
CD68,0.101235,0.599877,0.603672,0.64797,0.358834,0.717083
BG,0.304594,0.899723,0.844975,0.140377,0.674542,0.855029
