,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.733264,0.614846,0.440516,0.716689,0.60507,0.491312
Pan-Keratin,0.488155,-0.244758,0.598099,0.263005,-0.639466,-0.0119036
CD3,0.0419396,0.714424,0.434671,0.841319,0.407721,0.510426
CD8,0.507477,0.560765,0.667611,0.732833,-0.177926,-0.0363703
CD20,0.224623,0.334489,0.50769,0.641213,0.578206,0.470138
CD56,0.218693,0.213933,0.185605,0.519801,0.367164,-0.312795
CD68,0.178147,0.602307,0.585714,0.563763,0.374004,0.735468
BG,0.296249,0.901313,0.851038,0.113485,0.665259,0.852421
