class,entropy_nats,entropy_bits
CK+,1.26861,1.83021
CD3+,1.22838,1.77218
CD8+,1.28854,1.85897
CD20+,1.21638,1.75487
CD56+,1.23678,1.7843
CD68+,1.24118,1.79064
