,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.172286,0.300203,0.214086,0.284971,0.15145,0.160552
Pan-Keratin,0.110149,0.0342498,0.0637922,0.0489399,0.0236381,0.0326137
CD3,0.0287547,0.0825371,0.0596182,0.0827321,0.0391077,0.0525976
CD20,0.0481722,0.0627666,0.0719758,0.0626733,0.0247842,0.0302956
CD68,0.0258107,0.0297252,0.0252415,0.0515284,0.0400849,0.0382506
CD56,0.00521636,0.00396842,0.00517342,0.00543686,0.00547272,0.00305988
CD8,0.046677,0.0537655,0.0498904,0.046696,0.0565609,0.0980714
BG,0.150754,0.221501,0.213177,0.0737723,0.178527,0.148508
