,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.573499,1,0.99793,0.99793,0.331263,0.939959
Pan-Keratin,0.00621118,0.345756,0.254658,0.153209,0.285714,0.186335
CD3,0.0434783,0.0165631,0,0.337474,0.608696,0.0289855
CD8,0.0165631,0.00414079,0.00414079,0.600414,0.52381,0.592133
CD20,0.0227743,0.0331263,0.111801,0.0786749,0.0289855,0.412008
CD56,0.0207039,0.0144928,0.0227743,0.00621118,0.00207039,0.0207039
CD68,0.412008,0.111801,0.221532,0.196687,0.00828157,0.0310559
BG,0,0.424431,0.165631,0.351967,1,0.573499
