class,entropy_nats,entropy_bits
CK+,1.17098,1.68936
CD3+,1.15371,1.66445
CD8+,1.2328,1.77855
CD20+,1.06762,1.54025
CD56+,1.07493,1.55079
CD68+,1.2096,1.74508
