,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.630468,0.565212,0.499798,0.565146,0.664604,0.485836
Pan-Keratin,0.138004,0.0261887,0.018,0.0160029,0.0362843,0.0148089
CD3,0.0453408,0.272652,0.0633654,0.0379741,0.0332569,0.0261874
CD8,0.0314274,0.0442865,0.324697,0.0396032,0.0363588,0.0409367
CD20,0.0366832,0.0289069,0.0268264,0.280155,0.072276,0.0326349
CD56,0.00133815,0.000330247,0.000857782,0.00166914,0.00860082,0.00074246
CD68,0.0397813,0.0217602,0.0324701,0.0291837,0.0532734,0.364174
BG,0.0769571,0.0406637,0.033985,0.0302656,0.0953454,0.0346794
